,users,values,time
752,10,13.2,14:58:58
753,10,13.6,14:59:03
754,10,12.6,14:59:08
755,10,12.3,14:59:13
756,10,12.5,14:59:18
757,10,13.8,14:59:23
758,10,13.7,14:59:28
759,10,13.2,14:59:33
760,10,13.3,14:59:38
761,10,13.1,14:59:43
762,10,13.3,14:59:48
763,10,12.9,14:59:53
764,10,12.7,14:59:58
765,10,12.8,15:00:03
766,10,14.5,15:00:08
767,10,13.7,15:00:13
768,10,12.6,15:00:18
769,10,12.9,15:00:23
770,10,13.3,15:00:28
771,10,13.0,15:00:33
772,10,12.6,15:00:38
773,10,13.0,15:00:43
774,10,13.6,15:00:48
775,10,12.8,15:00:53
776,10,12.7,15:00:58
777,10,13.3,15:01:03
778,10,13.3,15:01:08
779,10,13.4,15:01:13
780,10,13.5,15:01:18
781,10,15.0,15:01:23
782,10,15.8,15:01:28
783,10,14.8,15:01:33
784,10,15.0,15:01:38
785,10,15.2,15:01:43
786,10,14.8,15:01:48
787,10,12.7,15:01:53
788,10,13.3,15:01:58
789,10,12.4,15:02:03
790,10,12.4,15:02:08
791,10,12.5,15:02:13
792,10,12.6,15:02:18
793,10,13.3,15:02:23
794,10,13.2,15:02:28
795,10,13.1,15:02:33
796,10,12.8,15:02:38
797,10,12.7,15:02:43
798,10,14.8,15:02:48
799,10,14.5,15:02:53
800,10,13.9,15:02:58
801,10,13.2,15:03:03
802,10,14.4,15:03:08
803,10,14.6,15:03:13
804,10,12.0,15:03:18
805,10,12.2,15:03:23
806,10,12.9,15:03:28
807,10,12.9,15:03:33
808,10,14.4,15:03:38
809,10,14.6,15:03:43
810,10,12.9,15:03:48
811,10,13.1,15:03:53
812,10,13.3,15:03:58
813,10,13.6,15:04:03
814,10,13.8,15:04:08
815,10,13.9,15:04:13
816,10,13.2,15:04:18
817,10,13.0,15:04:23
818,10,13.6,15:04:28
819,10,13.4,15:04:33
820,10,13.0,15:04:38
821,10,13.7,15:04:43
822,10,14.1,15:04:48
823,10,12.9,15:04:53
824,10,13.5,15:04:58
825,10,12.7,15:05:03
826,10,12.1,15:05:08
827,10,11.5,15:05:13
828,10,12.0,15:05:18
829,10,12.5,15:05:23
830,10,12.3,15:05:28
831,10,12.6,15:05:33
832,10,13.4,15:05:38
833,10,12.8,15:05:43
834,10,13.5,15:05:48
835,10,13.2,15:05:53
836,10,13.3,15:05:58
837,10,13.2,15:06:03
838,10,14.2,15:06:08
839,10,14.6,15:06:13
840,10,13.6,15:06:18
841,10,13.4,15:06:23
842,10,13.1,15:06:28
843,10,14.1,15:06:33
844,10,13.8,15:06:38
845,10,13.9,15:06:43
846,10,14.5,15:06:48
847,10,12.6,15:06:53
848,10,12.5,15:06:58
849,10,13.1,15:07:03
850,10,13.0,15:07:08
851,10,12.3,15:07:13
852,10,13.0,15:07:18
853,10,12.8,15:07:23
854,10,12.9,15:07:28
855,10,12.5,15:07:33
856,10,13.1,15:07:38
857,10,13.0,15:07:43
858,10,12.3,15:07:48
859,10,11.8,15:07:53
860,10,12.2,15:07:58
861,10,12.6,15:08:03
862,10,12.4,15:08:08
863,10,13.8,15:08:13
864,10,13.1,15:08:18
865,10,12.3,15:08:23
866,10,13.2,15:08:28
867,10,13.7,15:08:33
868,10,13.4,15:08:38
869,10,12.7,15:08:43
870,10,13.1,15:08:48
871,10,13.1,15:08:53
872,10,13.0,15:08:58
873,10,12.8,15:09:03
874,10,13.1,15:09:08
875,10,12.9,15:09:13
876,10,12.6,15:09:18
877,10,12.7,15:09:23
878,10,12.5,15:09:28
879,10,13.0,15:09:33
880,10,13.0,15:09:38
881,10,12.3,15:09:43
882,10,12.7,15:09:48
883,10,12.7,15:09:53
884,10,12.2,15:09:58
885,10,12.0,15:10:03
886,10,13.1,15:10:08
887,10,13.3,15:10:13
888,10,13.3,15:10:18
889,10,12.4,15:10:23
890,10,12.0,15:10:28
891,10,13.6,15:10:33
892,10,13.0,15:10:38
893,10,13.3,15:10:43
894,10,13.2,15:10:48
895,10,12.6,15:10:53
896,10,13.0,15:10:58
897,10,13.7,15:11:03
898,10,13.2,15:11:08
899,10,12.5,15:11:13
900,10,12.2,15:11:18
901,10,12.1,15:11:23
902,10,12.6,15:11:28
903,10,13.6,15:11:33
904,10,13.1,15:11:38
905,10,12.7,15:11:43
906,10,12.3,15:11:48
907,10,12.2,15:11:53
908,10,11.9,15:11:58
909,10,11.5,15:12:03
910,10,12.1,15:12:08
911,10,12.0,15:12:13
912,10,12.7,15:12:18
913,10,12.4,15:12:23
914,10,12.2,15:12:28
915,10,13.4,15:12:33
916,10,13.6,15:12:38
917,10,13.3,15:12:43
918,10,13.0,15:12:48
919,10,12.8,15:12:53
920,10,13.3,15:12:58
921,10,13.2,15:13:03
922,10,12.3,15:13:08
923,10,11.8,15:13:13
924,10,12.7,15:13:18
925,10,13.2,15:13:23
926,10,12.5,15:13:28
927,10,13.0,15:13:33
928,10,12.9,15:13:38
929,10,12.4,15:13:43
930,10,13.1,15:13:48
931,10,13.1,15:13:53
932,10,13.1,15:13:58
933,10,13.5,15:14:03
934,10,13.6,15:14:08
935,10,12.6,15:14:13
936,10,12.1,15:14:18
937,10,12.0,15:14:23
938,10,12.0,15:14:28
939,10,12.6,15:14:33
940,10,13.2,15:14:38
941,10,13.3,15:14:43
942,10,12.9,15:14:48
943,10,13.0,15:14:53
944,10,13.2,15:14:58
945,10,12.9,15:15:03
946,10,12.3,15:15:08
947,10,12.5,15:15:13
948,10,13.0,15:15:18
949,10,13.1,15:15:23
950,10,13.1,15:15:28
951,10,12.8,15:15:33
952,10,12.4,15:15:38
953,10,12.8,15:15:43
954,10,12.8,15:15:48
955,10,12.5,15:15:53
956,10,12.7,15:15:58
957,10,12.3,15:16:03
958,10,12.3,15:16:08
959,10,12.6,15:16:13
960,10,12.6,15:16:18
961,10,11.9,15:16:23
962,10,12.2,15:16:28
963,10,12.4,15:16:33
964,10,12.8,15:16:38
965,10,12.6,15:16:43
966,10,13.2,15:16:48
967,10,13.3,15:16:53
968,10,13.2,15:16:58
969,10,12.9,15:17:03
970,10,12.3,15:17:08
971,10,12.8,15:17:13
972,10,13.3,15:17:18
973,10,13.5,15:17:23
974,10,12.5,15:17:28
975,10,13.2,15:17:33
976,10,13.1,15:17:38
977,10,13.3,15:17:43
978,10,13.4,15:17:48
